name,accession_id,class,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency,unique_matches_frequency
Staphylococcus aureus GI 33390919,,-,10.17,1002970.0,78.57,66.83,1072
Staphylococcus aureus GI 33390945,,-,7.09,699871.0,100.0,100.0,218
Staphylococcus aureus GENE AACA-APHD,,-,5.68,560945.0,64.96,64.96,1002
Staphylococcus aureus GENE dfrA,,-,5.61,553690.0,70.82,70.82,481
Staphylococcus aureus GI 33390920,,-,4.62,455846.0,62.42,62.42,302
Staphylococcus aureus GENE blaI,,-,4.49,442542.0,53.97,53.97,383
Staphylococcus aureus GENE thyA,,-,3.66,360825.0,41.98,41.98,701
Staphylococcus aureus GENE qacC,,-,3.26,321941.0,54.11,54.11,173
Staphylococcus aureus GENE blaZ,,-,3.16,311933.0,48.81,48.81,352
Staphylococcus aureus GI 33390939,,-,1.45,143295.0,45.24,45.24,19
Staphylococcus lentus GENE tetK,,-,10.41,1026937.0,95.04,95.04,2286
Staphylococcus lentus GENE repC,,-,10.36,1022615.0,95.82,95.82,1632
Staphylococcus lentus GENE pre,,-,9.96,983014.0,92.9,92.9,1735
Staphylococcus lentus GI 60416745,,-,6.45,636482.0,100.0,100.0,66
Staphylococcus lentus GI 60416748,,-,1.02,100745.0,50.0,50.0,6
Enterococcus faec 751 Branch,,-,4.24,418225.0,55.15,55.15,75
Enterococcus faecalis GENE repB,,-,3.99,393866.0,59.02,59.02,390
Enterococcus faecalis GENE mobB,,-,2.75,271699.0,42.86,42.86,357
Bacteroides vulgatus GI 33413459,,-,1.62,159560.0,41.05,41.05,39
