name,tax_id,relative_abundance,abundance_score,hit_frequency
Micrococcus luteus,1270,9.34,37135,259817
Kocuria rhizophila,72000,6.62,26302,705195
Kocuria palustris,71999,0.85,3381,38548
Kocuria marina,223184,0.02,80,4255
Rothia dentocariosa,2047,0.19,768,8918
Rothia aeria,172042,0.11,423,1608
Rothia mucilaginosa,43675,0.07,291,2427
Pseudoglutamicibacter albus,98671,0.14,572,19460
Janibacter hoylei,364298,2.77,11002,340185
Brevibacterium ravenspurgense,479117,0.46,1848,42054
Brevibacterium casei,33889,0.18,734,15898
Microbacterium paraoxydans,199592,0.03,132,3130
Microbacterium sp. KROCY2,1305732,0.75,2998,12830
Dermacoccus nishinomiyaensis,1274,0.03,140,2058
Dermacoccus sp. Ellin185,188626,0.03,131,2057
Dermabacter hominis,36740,0.07,269,7181
Dermabacter sp. HFH0086,1203568,0.04,164,3408
Brachybacterium paraconglomeratum,173362,0.75,2999,61806
Brachybacterium muris,219301,0.07,297,6886
Cutibacterium acnes,1747,4.23,16813,243
Cutibacterium granulosum,33011,0.1,379,1154
Propionibacterium sp. 5_U_42AFAA,450748,4.2,16709,490
Propionibacterium acidifaciens,556499,0.14,565,3413
Propionibacteriaceae_u_s,31957,0.04,174,82
Pseudopropionibacterium propionicum,1750,0.05,190,4750
Propionimicrobium_u_s,203133,0.04,150,1186
Corynebacterium accolens,38284,0.55,2192,2370
Corynebacterium matruchotii,43768,0.19,751,9370
Corynebacterium glucuronolyticum,39791,0.14,557,8984
Corynebacterium jeikeium,38289,0.04,156,3047
Corynebacterium urealyticum,43771,0.06,223,2663
Corynebacterium ihumii,1232427,1.7,6761,184146
Corynebacterium tuberculostearicum,38304,1.69,6722,73621
Corynebacterium pseudogenitalium,38303,1.63,6472,75363
Corynebacterium ureicelerivorans,401472,1.31,5222,111276
Corynebacterium sp. KPL1856,1203563,1.02,4065,30
Corynebacterium freneyi,134034,1.0,3970,86938
Corynebacterium imitans,156978,0.53,2099,46038
Corynebacterium aurimucosum,169292,0.49,1944,52745
Corynebacterium genitalium,38288,0.39,1566,33404
Corynebacterium minutissimum,38301,0.39,1552,34242
Corynebacterium pyruviciproducens,598660,0.19,745,15889
Corynebacterium amycolatum,43765,0.17,682,2231
Corynebacterium kroppenstedtii,161879,0.14,562,13052
Corynebacterium singulare,161899,0.09,356,6939
Corynebacterium jeddahense,1414719,0.09,351,9152
Corynebacterium striatum,43770,0.08,325,10058
Corynebacterium tuscaniense,302449,0.08,323,8356
Corynebacterium durum,61592,0.07,285,7192
Corynebacterium lipophiloflavum,161889,0.04,146,4445
Turicella otitidis,29321,0.04,179,3813
Dietzia cinnamea,321318,0.46,1810,40576
Gordonia terrae,2055,0.03,137,88
Actinomyces neuii,33007,0.36,1440,27099
Actinomyces massiliensis,461393,0.14,563,4497
Actinomyces johnsonii,544581,0.08,313,1694
Actinomyces odontolyticus,1660,0.04,174,1731
Actinomyces naeslundii,1655,1.31,5219,107799
Actinomyces viscosus,1656,1.3,5163,53891
Actinomyces oris,544580,1.22,4834,63021
Actinomyces sp. oral taxon 175,712119,0.97,3872,20959
Actinomyces timonensis,1288391,0.44,1753,33427
Actinomyces dentalis,272548,0.43,1723,32927
Actinomyces gerencseriae,52769,0.27,1083,19264
Actinomyces israelii,1659,0.2,795,14913
Actinomyces turicensis,131111,0.02,94,2294
Varibaculum cambriense,184870,0.04,160,2664
Actinobaculum sp. oral taxon 183,712888,0.04,167,3709
Mobiluncus_u_s,2050,0.02,85,8
Gardnerella vaginalis,2702,0.69,2736,9961
Bifidobacterium adolescentis,1680,0.12,463,223
Bifidobacterium bifidum,1681,0.04,147,1672
Bifidobacterium catenulatum,1686,0.04,143,1250
Scardovia wiggsiae,230143,0.03,103,1792
Parascardovia denticolens,78258,0.03,131,1770
Pseudonocardia sp. P2,882856,1.19,4748,38382
Atopobium vaginae,82135,0.14,551,8133
Atopobium parvulum,1382,0.02,86,1354
Atopobium rimae,1383,0.02,91,1698
Collinsella aerofaciens,74426,0.02,76,1572
Staphylococcus epidermidis,1282,1.38,5494,9
Staphylococcus capitis,29388,2.0,7934,4497
Staphylococcus aureus,1280,0.11,420,88
Staphylococcus haemolyticus,1283,0.32,1255,5794
Staphylococcus cohnii,29382,0.08,302,528
Staphylococcus equorum,246432,0.05,214,285
Staphylococcus warneri,1292,0.1,388,4391
Staphylococcus pasteuri,45972,0.06,252,2610
Staphylococcus saprophyticus,29385,0.1,380,484
Staphylococcus_u_s,1279,0.08,307,330
Staphylococcus xylosus,1288,0.03,141,1154
Staphylococcus simulans,1286,0.04,146,787
Staphylococcus vitulinus,71237,0.02,78,1643
Staphylococcus pettenkoferi,170573,0.1,405,9074
Staphylococcus hominis,1290,0.42,1681,722
Staphylococcus sp. M0480,1388318,0.31,1245,140
Nosocomiicoccus massiliensis,1232430,0.38,1518,25543
Brochothrix thermosphacta,2756,0.79,3134,61373
Paenibacillus sophorae,1333845,0.91,3610,60556
Gemella haemolysans,1379,0.06,221,2857
Gemella morbillorum,29391,0.03,131,1529
Streptococcus anginosus,1328,0.21,817,3323
