name,tax_id,relative_abundance,abundance_score,hit_frequency
Lactobacillales,186826,4.39647,2881.8900000000003,18192
Bacillales,1385,1.13371,480.6,2500
Veillonellales,1843489,3.71,326,248
Clostridiales,186802,3.53,310,6
Tissierellales,1737405,1.98,174,661
Micrococcales,85006,8.4256,1574.2799999999997,7915
Propionibacteriales,85009,2.48,218,24
Actinomycetales,2037,1.99,175,3290
Neisseriales,206351,6.78414,1504.4,7243
Rhodospirillales,204441,1.29,114,1386
Pasteurellales,135625,1.70376,269.05,1152
Bacteroidales,171549,3.30501,770.11,5720
