name,accession_id,class,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency
Staphylococcus aureus GI 33390919,,-,70.69,90722215.0,83.44,74.37,88856
Staphylococcus aureus GENE 1602 Branch,,-,6.66,8543044.0,65.71,80.0,1861
Staphylococcus aureus GI 33390920,,-,5.8,7438899.0,100.0,100.0,7091
Staphylococcus aureus GENE dfrA,,-,4.96,6369931.0,82.4,82.4,8774
Staphylococcus aureus GENE thyA,,-,3.69,4734455.0,100.0,100.0,12969
Staphylococcus aureus GENE blaZ,,-,0.62,791051.0,79.27,79.27,1328
Staphylococcus aureus GENE blaI,,-,0.49,632842.0,82.01,82.01,450
Staphylococcus aureus GENE blaR1,,-,0.38,484070.0,48.04,48.04,1513
Staphylococcus epidermidis GeneID SEA1545,,-,1.99,2558490.0,100.0,100.0,3209
Staphylococcus lentus GENE repC,,-,1.27,1626229.0,60.79,60.79,3877
Staphylococcus lentus GENE pre,,-,0.51,652614.0,74.04,74.04,1039
Staphylococcus lentus GENE repL,,-,0.25,319392.0,53.7,53.7,209
Staphylococcus lentus GENE tetK,,-,0.22,281802.0,45.71,45.71,353
Enterococcus faecalis GENE mobB,,-,1.35,1733322.0,97.39,97.39,4465
Enterococcus faecalis GENE repB,,-,1.06,1360367.0,98.09,98.09,2216
Klebsiella pneumoniae GI 42543951,,-,0.07,91968.0,57.14,57.14,4
