name,accession_id,class,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency
Staphylococcus aureus GI 33390919,,-,10.74,2840497.0,78.57,66.83,3735
Staphylococcus aureus GI 33390948,,-,4.16,1101406.0,63.45,41.44,1119
Staphylococcus aureus GENE 1602 Branch,,-,6.83,1806438.0,45.0,62.22,667
Staphylococcus aureus GI 33390920,,-,21.11,5584428.0,100.0,100.0,5367
Staphylococcus aureus GENE thyA,,-,14.5,3836546.0,92.18,92.18,10560
Staphylococcus aureus GENE dfrA,,-,12.7,3360715.0,78.97,78.97,4692
Staphylococcus aureus GENE qacC,,-,3.35,886364.0,100.0,100.0,560
Staphylococcus aureus GENE blaZ,,-,2.51,664778.0,42.98,42.98,1609
Staphylococcus aureus GENE blaI,,-,2.1,556763.0,54.5,54.5,548
Staphylococcus aureus GI 33390939,,-,2.01,531646.0,100.0,100.0,98
Staphylococcus aureus GI 33390947,,-,1.0,263319.0,77.42,77.42,24
Staphylococcus epidermidis GeneID SEA1545,,-,10.61,2807012.0,93.24,93.24,3615
Staphylococcus lentus GENE repL,,-,2.27,601582.0,92.59,92.59,348
Staphylococcus lentus GENE repC,,-,1.92,507977.0,52.67,52.67,885
Staphylococcus lentus GI 60416748,,-,0.38,100745.0,50.0,50.0,6
Escherichia coli GENE aphA7,,-,2.25,594779.0,88.75,88.75,454
Proteus mirabilis GENE tnpA,,-,1.54,408144.0,100.0,100.0,40
