name,tax_id,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency
Staphylococcus phage Ipla7,1197953,15.95,1408850.0,29.72,17.6,46232
Staphylococcus phage CNPH82,398839,7.72,681682.0,23.8,10.31,23816
Staphylococcus phage Ipla5,1197952,8.4,742112.0,21.55,12.37,29544
Staphylococcus phage PH15,399185,8.4,742044.0,22.38,11.34,31534
Staphylococcus phage StB27,1147044,0.11,9638.0,1.31,1.26,486
Staphylococcus phage ROSA,320843,0.1,8349.0,1.33,1.46,85
Staphylococcus phage StB20,1147043,12.03,1062366.0,24.05,24.48,92176
Propionibacterium phage P105,1229788,0.69,60813.0,8.43,2.59,129
Propionibacterium phage P100_1,1229791,0.29,25301.0,3.92,1.67,94
Propionibacterium phage PHL060L00,1235647,0.4,34990.0,5.24,2.02,119
Propionibacterium phage P9.1,1229782,0.25,22129.0,3.77,1.15,52
Propionibacterium phage PHL113M01,1235655,0.64,56748.0,8.42,3.7,164
Propionibacterium phage P100D,1229789,0.26,22549.0,3.9,1.47,69
Siphoviridae,10699,0.11,9826.0,3.6,3.6,8
Human papillomavirus type 50,40539,36.42,3217065.0,69.06,69.06,52812
Human papillomavirus type 5,333923,0.36,32022.0,3.45,3.45,561
Human polyomavirus 6,746830,1.85,163228.0,22.57,22.57,795
Merkel cell polyomavirus,493803,6.0,529732.0,58.89,59.11,2810
Human immunodeficiency virus 1,11676,0.05,4627.0,1.16,1.16,37
