name,accession_id,class,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency
Staphylococcus aureus GI 33390919,,-,48.23,11074067.0,79.22,67.84,12636
Staphylococcus aureus GENE thyA,,-,10.13,2325483.0,96.37,96.37,5994
Staphylococcus aureus GENE dfrA,,-,8.6,1974551.0,72.96,72.96,2729
Staphylococcus aureus GI 33390920,,-,7.84,1799146.0,91.72,91.72,1657
Staphylococcus aureus GI 33390940,,-,4.55,1044143.0,73.76,73.76,2042
Staphylococcus aureus GENE blaZ,,-,2.56,588607.0,60.69,60.69,1041
Staphylococcus aureus GENE blaI,,-,1.87,429926.0,49.74,49.74,396
Staphylococcus aureus GENE blaR1,,-,1.44,331611.0,41.32,41.32,850
Staphylococcus aureus GENE qacC,,-,0.86,197260.0,42.47,42.47,79
Staphylococcus epidermidis GeneID SEA1545,,-,5.19,1191513.0,100.0,100.0,1222
Staphylococcus lentus GENE tetK,,-,5.17,1187893.0,95.79,95.79,2922
Staphylococcus lentus GI 60416745,,-,3.55,814420.0,100.0,100.0,90
