name,tax_id,relative_abundance,abundance_score,hit_frequency
Staphylococcus,1279,16.12309,61584.01,4388
Streptococcus,1301,0.6405,1828.57,4372
Facklamia,66831,0.06,150,15
Anaerococcus,165779,0.47671,18682.09,234479
Peptoniphilus,162289,3.56563,29126.129999999997,512347
Finegoldia,150022,4.5,11867,239682
Tissierellia_u_g,1737404,0.84,2205,17737
Dialister,39948,11.38,29990,671
Negativicoccus,909928,1.7,4476,32285
Peptostreptococcus,1257,1.7203,4604.06,29774
Clostridioides,1870884,0.2,516,1266
Christensenella,990721,0.05,143,475
Corynebacterium,1716,21.0933,61671.69,66929
Actinomyces,1654,4.92,12979,347686
Varibaculum,184869,0.37,973,13774
Mobiluncus,2050,0.11,293,107
Propionibacterium,1743,0.83082,2401.09,1855
Cutibacterium,1912216,0.86,2264,666
Propionibacteriaceae_u_g,31957,0.13,351,10
Micrococcus,1269,0.14,379,481
Rothia,32207,0.03,86,19
Atopobium,1380,0.03,90,231
Campylobacter,194,0.5,1327,8456
Prevotella,838,2.9138900000000003,13923.519999999999,377013
Porphyromonas,836,0.21428999999999998,1684.76,30821
