name,tax_id,relative_abundance,abundance_score,hit_frequency
Cutibacterium,1912216,39.88628,826010.01,530175
Propionibacterium,1743,39.57107,753733.45,83168
Acidipropionibacterium,1912215,0.01007,231.61,4451
Propionimicrobium,203133,0.01,139,1214
Corynebacterium,1716,0.12993,21104.559999999998,105602
Dietzia,37914,0.01,92,24
Rothia,32207,0.020050000000000002,473.88,4737
Kocuria,57493,0.01,174,3673
Nesterenkonia,57494,0.0,82,2038
Micrococcus,1269,0.34,6398,8736
Dermabacter,36739,0.01007,373.16999999999996,4984
Brachybacterium,43668,0.01,98,2104
Brevibacterium,1696,0.01,142,3427
Actinotignum,1653174,0.01,134,255
Mobiluncus,2050,0.01,107,16
Scardovia,196081,0.01,89,1425
Staphylococcus,1279,10.655850000000003,251062.9,61128
Streptococcus,1301,0.04059,1819.0800000000002,1935
Lactobacillus,1578,0.020190000000000003,718.07,600
Enterococcus,1350,0.01,138,11
Facklamia,66831,0.01,98,519
Aerococcus,1375,0.0,77,121
Anaerococcus,165779,0.01188,3684.56,74605
Peptoniphilus,162289,0.05271,24833.8,450599
Finegoldia,150022,0.06,1095,9989
Tissierellia_u_g,1737404,0.04,783,6073
Clostridioides,1870884,0.11,2039,4066
Christensenella,990721,0.01,89,287
Veillonella,29465,0.0,77,11
Negativicoccus,909928,0.08,1470,7997
Campylobacter,194,0.02,430,1552
Proteus,583,0.0,80,6
Pseudomonas,286,0.01,226,114
Jonquetella,428711,0.01,226,80
Porphyromonas,836,0.02051,1379.46,14781
