name,accession_id,class,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency
Staphylococcus aureus GI 33390919,,-,52.15,14773543.0,89.61,83.92,14043
Staphylococcus aureus GI 33390920,,-,14.67,4156419.0,98.73,98.73,4006
Staphylococcus aureus GENE dfrA,,-,11.95,3384694.0,87.12,87.12,4650
Staphylococcus aureus GI 33390940,,-,5.64,1596860.0,41.84,41.84,4060
Staphylococcus aureus GENE thyA,,-,4.44,1257641.0,98.47,98.47,2602
Staphylococcus aureus GI 33390945,,-,1.85,524386.0,83.33,83.33,160
Staphylococcus aureus GENE qacC,,-,0.98,277858.0,50.68,50.68,137
Staphylococcus lentus GENE repC,,-,4.18,1184993.0,85.38,85.38,2262
Staphylococcus epidermidis GeneID SEA1545,,-,3.22,912298.0,88.29,88.29,893
Staphylococcus lentus GENE pre,,-,0.92,261683.0,41.38,41.38,325
