name,accession_id,class,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency
Staphylococcus aureus GI 33390919,,-,18.75,1003233.0,78.57,66.83,1143
Staphylococcus aureus GI 33390948,,-,11.07,592094.0,71.03,53.59,476
Staphylococcus aureus GENE AACA-APHD,,-,8.91,476460.0,67.25,67.25,624
Staphylococcus aureus GENE blaZ,,-,5.1,272898.0,45.14,45.14,285
Staphylococcus aureus GENE thyA,,-,4.39,235061.0,40.27,40.27,253
Staphylococcus aureus GI 33390920,,-,4.19,223984.0,49.04,49.04,77
Staphylococcus aureus GENE blaI,,-,4.17,223087.0,47.09,47.09,91
Staphylococcus lentus GENE tetK,,-,12.05,644487.0,81.5,81.5,1037
Staphylococcus lentus GENE pre,,-,10.84,580090.0,72.21,72.21,833
Staphylococcus lentus GENE repC,,-,7.33,392359.0,59.63,59.63,409
Enterococcus faecium GENE tetL,,-,6.71,359273.0,70.16,98.18,54
Enterococcus faecium GENE aadE,,-,6.49,347056.0,60.06,60.06,244
