name,tax_id,relative_abundance,abundance_score,hit_frequency
Microbacterium sp. KROCY2_u_t,1305732,1.49,637,2959
Propionibacteriaceae_u_t,31957,7.67,3279,311
Corynebacterium sp. KPL1856_u_t,1203563,8.94,3820,40
Staphylococcus sp. TE8_u_t,1472720,0.76,326,638
Staphylococcus_u_t,1279,0.39,168,534
Lactobacillus_u_t,1578,0.73,310,13
Aerococcus_u_t,1375,0.43,182,391
Streptococcus_u_t,1301,0.45,192,6
Veillonella_u_t,29465,0.33,141,20
Acinetobacter calcoaceticus/baumannii complex_u_t,909768,0.18,78,15
Acinetobacter sp. 479375_u_t,1310601,0.53,226,426
Acinetobacter_u_t,469,0.29,125,247
Aeromonas_u_t,642,0.85,361,24
Brevundimonas_u_t,41275,0.18,76,35
Neisseria_u_t,482,0.22,95,70
