name,tax_id,relative_abundance,abundance_score,hit_frequency
Micrococcus,1269,10.13,16271,613651
Kocuria,57493,5.551419999999999,13914.14,302017
Rothia,32207,0.80823,2599.77,46836
Nesterenkonia,57494,0.21,334,8960
Micrococcaceae_u_g,1268,0.07,107,103
Citricoccus,169133,0.16,254,16128
Microbacterium,33882,2.7018200000000006,20522.14,298085
Leucobacter,55968,0.07,120,4116
Brevibacterium,1696,0.09131,348.57,13602
Janibacter,53457,5.73,9207,249174
Knoellia,136099,0.16,255,27
Serinicoccus,265976,0.08,136,368
Cellulosimicrobium,157920,0.51304,1313.82,10959
Kytococcus,57499,0.08,134,4720
Mobilicoccus,984996,0.07,116,146
Brachybacterium,43668,18.142770000000002,29575.58,1354535
Dietzia,37914,1.18146,3725.87,137472
Gordonia,2053,0.84,1357,59
Corynebacterium,1716,0.11395000000000001,814.8399999999999,6172
Mycobacterium,1763,0.1,156,3935
Actinomyces,1654,0.5445800000000001,11139.569999999998,106225
Propionibacterium,1743,0.59,943,5252
Propionibacteriaceae_u_g,31957,0.13,216,21
Scardovia,196081,0.21,331,4743
Bifidobacterium,1678,0.09,148,626
Pseudonocardia,1847,0.05,77,98
Atopobium,1380,0.11051,264.34000000000003,3767
Streptococcus,1301,1.6588800000000004,10439.63,53211
Granulicatella,117563,0.14,229,4148
Staphylococcus,1279,0.8488,9118.95,189604
Bacillus,1386,0.62,1002,4067
Paenibacillus,44249,0.34,538,6761
Gemella,1378,0.22,346,16
Veillonella,29465,0.65267,3065.66,15292
Solobacterium,123375,0.05,80,642
Pseudomonas,286,1.9713900000000004,8152.07,36158
Acinetobacter,469,0.16327,777.72,2623
Haemophilus,724,0.2,322,669
Raoultella,160674,0.57,912,581
Klebsiella,570,0.3,484,678
Enterobacter,547,0.06048,175.01999999999998,747
Serratia,613,0.29,460,2293
Pantoea,53335,0.07,113,114
Stenotrophomonas,40323,1.33,2139,38349
Xanthomonadaceae_u_g,32033,0.07,107,685
Enhydrobacter,212791,0.51,817,7192
Roseomonas,125216,0.06,92,1416
Rhizobium,379,0.34,539,5460
Agrobacterium,357,0.12150999999999999,443.13,4288
Bradyrhizobium,374,0.13,207,2019
Ochrobactrum,528,0.21123999999999998,540.86,10826
Methylobacterium,407,0.25096,555.89,8332
Aureimonas,414371,0.08,136,9
Paracoccus,265,0.22791,1618.2399999999998,28865
Brevundimonas,41275,0.2,317,218
Sphingobium,165695,0.05,80,19
Delftia,80865,0.35,559,1448
Achromobacter,222,0.11,175,4269
Massilia,149698,0.08,131,3330
Neisseria,482,0.06207,437.65,2100
Morococcus,212742,0.18,290,1271
Kingella,32257,0.07,111,2641
Prevotella,838,0.11106,343.87,1895
Capnocytophaga,1016,0.13108,382.90999999999997,3951
