name,tax_id,relative_abundance,abundance_score,hit_frequency
Staphylococcus epidermidis,1282,28.68,86382,506
Staphylococcus sp. JGI 0001002-I23,1157683,2.94,8848,2820
Staphylococcus capitis,29388,15.87,47780,29756
Staphylococcus lugdunensis,28035,0.33,981,9
Staphylococcus haemolyticus,1283,0.03,105,306
Staphylococcus_u_s,1279,0.04,119,845
Staphylococcus aureus,1280,2.81,8467,585
Enterococcus faecalis,1351,1.16,3478,632
Streptococcus agalactiae,1311,2.38,7169,119
Anaerococcus hydrogenalis,33029,0.46,1383,8084
Anaerococcus senegalensis,1288120,1.44,4321,59689
Anaerococcus obesiensis,1287640,0.09,276,3030
Anaerococcus prevotii,33034,0.09,259,98
Anaerococcus provencensis,938293,0.09,278,5475
Anaerococcus vaginalis,33037,0.08,246,3239
Finegoldia magna,1260,1.56,4707,70766
Peptoniphilus rhinitidis,1175452,0.98,2958,25381
Peptoniphilus harei,54005,0.24,722,6703
Peptostreptococcus anaerobius,1261,0.47,1427,5576
Peptostreptococcus sp. MV1,1219626,0.23,690,8064
Dialister micraerophilus,309120,0.47,1407,5016
Corynebacterium jeikeium,38289,0.03,83,9
Corynebacterium sp. KPL1857,1203564,12.99,39111,408
Corynebacterium tuberculostearicum,38304,2.06,6210,71281
Corynebacterium pseudogenitalium,38303,1.89,5679,75599
Corynebacterium kroppenstedtii,161879,0.21,644,15437
Propionibacterium sp. KPL1844,1203573,4.37,13149,162733
Cutibacterium granulosum,33011,2.1,6316,17418
Cutibacterium acnes,1747,0.24,738,78
Propionibacteriaceae_u_s,31957,0.03,89,206
Dermabacter sp. HFH0086,1203568,0.1,295,3351
Dermabacter hominis,36740,0.07,204,2540
Micrococcus luteus,1270,0.03,83,10
Pasteurella bettyae,752,9.81,29557,1008529
Haemophilus haemolyticus,726,0.04,131,3959
Campylobacter ureolyticus,827,0.03,100,96
Fusobacterium gonidiaformans,849,2.22,6681,30640
Prevotella bivia,28125,3.34,10066,42496
