name,tax_id,relative_abundance,abundance_score,hit_frequency
Acinetobacter,469,4.74991,21603.950000000004,41581
Pseudomonas,286,9.783719999999999,12028.890000000001,175107
Aeromonas,642,1.05922,1310.6999999999998,2911
Leclercia,83654,0.33,217,5102
Escherichia,561,0.12,81,6
Klebsiella,570,0.15,100,408
Enterobacter,547,0.12,82,15
Serratia,613,0.14,96,833
Shewanella,22,0.49,324,710
Halomonas,2745,0.13,86,12
Enhydrobacter,212791,0.3,202,1836
Ochrobactrum,528,0.13,84,38
Brevundimonas,41275,0.15,99,42
Comamonas,283,0.23,154,2566
Aerococcus,1375,11.040109999999999,8016.98,102665
Enterococcus,1350,0.21,140,10
Lactobacillus,1578,0.13,84,19
Streptococcus,1301,0.3712,326.03,75
Staphylococcus,1279,1.9064699999999997,5645.219999999999,13885
Jeotgalicoccus,227979,1.2255,1181.15,20428
Exiguobacterium,33986,0.21,143,1516
Brochothrix,2755,0.37,248,4842
Finegoldia,150022,0.38,253,60
Peptoniphilus,162289,0.20125,216.36,1397
Anaerococcus,165779,0.30158,303.15,84
Levyella,1715798,0.12,77,1281
Clostridium,1485,0.12,78,281
Kocuria,57493,0.2,131,1294
Rothia,32207,0.28,187,8
Micrococcus,1269,9.3,6189,7123
Brevibacterium,1696,0.15,103,2516
Corynebacterium,1716,0.22693,5219.26,44169
Propionibacteriaceae_u_g,31957,0.52,349,46
Cutibacterium,1912216,0.11,76,484
Actinomyces,1654,0.23,155,3174
Mobiluncus,2050,0.36,242,30
Empedobacter,59734,0.95,635,12153
Porphyromonas,836,0.14,97,268
