name,accession_id,class,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency
Staphylococcus aureus GI 33390919,,-,7.57,23886113.0,89.29,83.42,25158
Staphylococcus aureus GI 33390920,,-,0.93,2932359.0,91.72,91.72,2835
Staphylococcus aureus GENE thyA,,-,0.64,2006737.0,96.37,96.37,5016
Staphylococcus aureus GENE dfrA,,-,0.53,1655113.0,72.96,72.96,2244
Staphylococcus aureus GI 33390947,,-,0.24,770857.0,61.29,61.29,205
Staphylococcus aureus GENE blaZ,,-,0.12,380147.0,48.38,48.38,591
Staphylococcus aureus GENE blaI,,-,0.11,363075.0,63.49,63.49,190
Staphylococcus lentus GENE repC,,-,37.81,119300532.0,100.0,100.0,232473
Staphylococcus lentus GENE tetK,,-,32.07,101195827.0,100.0,100.0,297110
Staphylococcus lentus GI 60416745,,-,16.43,51836208.0,100.0,100.0,4388
Staphylococcus lentus GENE pre,,-,3.16,9974186.0,100.0,100.0,25821
Staphylococcus epidermidis GeneID SEA1545,,-,0.39,1242715.0,97.3,97.3,1324
